"driverId","driverExpYears","qualiResultPosition","meanPace","maxPace","grid_penalty","is_top_5"
822,3,10,89815.3333333333,102758,0,"FALSE"
825,2,19,104543,104543,0,"FALSE"
826,2,12,91007.5,96714,0,"FALSE"
828,2,20,106984,106984,1,"FALSE"
830,1,4,87880.3333333333,100424,0,"TRUE"
831,1,16,92417.5,97772,0,"FALSE"
832,1,6,87326.6666666667,96115,0,"FALSE"
835,0,17,103965,103965,0,"FALSE"
836,0,21,107343,107343,1,"FALSE"
837,0,22,110189,110189,1,"FALSE"
1,9,2,74820.3333333333,75243,0,"TRUE"
3,10,1,74895.6666666667,75485,0,"TRUE"
4,15,14,76189.5,76338,1,"FALSE"
8,15,5,75378.6666666667,75752,0,"FALSE"
13,14,10,75939,76503,0,"FALSE"
18,16,12,76040.5,76172,0,"FALSE"
20,9,6,75624,75927,0,"TRUE"
154,7,15,76207,76328,1,"FALSE"
807,6,7,75811.3333333333,76301,1,"FALSE"
815,5,9,75735.3333333333,76169,0,"FALSE"
817,5,3,75287.3333333333,75591,0,"TRUE"
821,3,11,75935,75987,0,"FALSE"
822,3,8,75657.3333333333,75952,1,"FALSE"
825,2,17,76716,76716,1,"FALSE"
826,2,19,76876,76876,1,"FALSE"
828,2,22,77238,77238,0,"FALSE"
830,1,4,75277.6666666667,75875,0,"TRUE"
831,1,21,77123,77123,0,"FALSE"
832,1,13,76153,76317,1,"FALSE"
835,0,16,76650.5,76665,1,"FALSE"
836,0,18,76717,76717,1,"FALSE"
837,0,20,76977,76977,1,"FALSE"
1,9,21,110033,110033,0,"TRUE"
3,10,1,107254,108019,0,"TRUE"
8,15,3,107495.333333333,107912,0,"FALSE"
13,14,10,107889.333333333,108263,0,"FALSE"
18,16,9,108288.333333333,108700,0,"FALSE"
20,9,4,107618,107944,0,"FALSE"
154,7,11,108533.5,108751,0,"FALSE"
807,6,7,107646.666666667,108080,0,"TRUE"
815,5,6,107666,108106,0,"TRUE"
817,5,5,107883.333333333,108407,0,"TRUE"
